EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,CLASE
-13,13,2,-3,-9,-6,-3,-20,A
20,13,7,16,60,3,4,-3,A
-21,9,2,0,4,-14,-39,3,A
22,-8,0,0,-3,6,22,36,A
-12,-24,-1,0,-1,7,-9,6,A
12,7,2,1,-5,-9,-7,10,A
-17,-11,-1,-3,-6,3,7,21,A
-36,-8,0,-4,-5,3,6,-56,A
6,6,4,4,4,18,26,0,A
-27,-8,-5,-5,-9,-11,-15,-9,A
-16,-4,10,2,-2,-18,19,8,A
33,-7,-12,-10,-8,-12,-30,-8,A
14,-8,-10,-2,-1,-2,2,16,A
-8,0,-10,-5,-12,-18,-7,-17,A
-3,-4,5,4,-2,-1,-33,0,A
-13,-4,-14,-4,-9,-4,30,-2,A
18,3,-1,-2,-2,-1,-1,11,A
-22,-5,0,4,2,4,5,-4,A
4,0,-4,-1,0,0,2,8,A
-15,-1,-3,-4,-3,0,-3,-18,A
28,9,5,2,-1,2,10,25,A
-13,-1,-2,-4,-2,0,1,-9,A
4,2,-1,0,-1,-2,0,1,A
-8,1,2,2,2,4,1,-9,A
18,-2,-2,-3,0,-1,1,-8,B
44,16,4,9,1,1,1,11,B
-7,-6,-1,2,0,-1,0,-2,B
-26,-6,2,-7,-4,-3,-1,7,B
56,1,-3,-1,-4,-2,-1,12,B
-23,1,0,11,2,-1,2,10,B
-16,-17,-4,5,0,0,-1,-10,B
17,-2,-1,-23,-19,0,0,-13,B
2,2,-1,-4,-3,0,19,15,B
0,2,-3,1,3,7,-19,-1,B
1,4,1,4,3,6,6,2,B
-5,-20,-4,-4,-2,-5,11,-1,B
4,-2,1,2,1,-4,17,8,B
-2,-9,-2,-3,-1,-3,24,3,B
-1,4,-1,-2,-3,-1,4,5,B
4,-5,1,-1,-2,-7,-13,5,B
0,0,2,4,-1,-1,1,1,B
-9,-5,-3,3,21,0,-2,-1,B
8,3,-5,-2,-3,0,-1,3,B
-17,-11,-7,-3,4,-1,-2,-2,B
-17,-6,2,0,2,-1,-3,-6,B
3,-3,-1,-5,-5,-4,1,2,B
0,2,1,3,1,-3,-8,-4,B
