emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16,5,-4,4,2,-11,1,-6,
-12,-2,-1,-6,-3,-9,-10,-1,
9,8,-1,1,-5,1,15,6,
11,-18,-4,-4,-5,-5,16,1,
-34,-6,-2,3,9,8,-5,2,
3,7,-6,0,-4,-10,-4,0,
-14,-39,-10,-7,-4,1,3,8,
10,-18,-9,-7,2,4,-3,-12,
-16,8,6,2,-5,-4,11,10,
-1,0,-10,-10,0,16,27,-13,
-14,-6,5,6,3,3,-15,14,
35,14,2,1,-6,-13,-1,-35,
8,2,-5,-4,-4,14,16,-29,
-15,-11,-2,1,3,0,5,6,
8,13,5,0,-6,-10,-16,-4,
-40,24,7,5,-2,7,19,-10,
19,-7,-5,-8,-2,-8,-18,-2,
9,-5,4,2,-3,-2,2,-18,
-21,54,15,15,5,-2,-3,0,
-8,-26,-17,-12,-1,-1,-27,6,
1,7,7,3,-2,-10,-1,24,
-3,1,-1,-1,3,11,11,35,
19,27,4,0,-3,-7,-13,20,
2,18,-4,4,0,3,27,14,
-46,17,2,0,0,9,-5,-29,
-34,-11,-3,-3,1,-3,12,12,
-2,-8,-6,-9,-4,-4,-1,-1,
5,14,1,4,3,6,10,-25,
13,-9,0,0,0,-10,-17,-4,
7,-11,-1,-8,-4,-1,-3,-10,
-6,-7,-10,16,2,0,-15,3,
-7,-18,7,0,0,-5,-17,-29,
-10,-19,-2,-5,-7,-8,-5,33,
19,17,3,-1,-2,-10,-26,-5,
-14,-18,-4,-8,-1,-10,12,-6,
-18,10,-2,-2,2,6,-16,14,
-4,2,-7,3,-2,-5,-14,2,
34,12,4,-2,-5,-2,4,7,
-3,-27,-5,3,-1,5,12,10,
7,27,2,-6,0,-3,4,26,
-12,-22,-7,-7,-4,-7,-7,-17,
-12,7,-5,8,0,16,21,-24,
-5,25,-1,-8,3,5,-1,-45,
0,-36,-14,-10,-11,-15,-45,-6,
11,33,10,13,3,9,35,13,
1,-12,-1,-3,-2,-5,10,0,
-9,-19,-2,-1,4,13,2,14,
-16,39,13,1,0,-5,6,-16,
66,3,2,-9,-5,-6,-10,42,
-24,-21,-4,8,-1,-6,-5,-21,
15,20,4,-3,-3,-1,-9,-14,
2,-19,1,2,0,2,16,24,
9,-26,-16,-11,-2,-3,4,13,
-16,34,1,5,2,-1,-20,-31,
5,-14,-3,1,1,-7,-18,9,
-28,-5,-15,-3,-6,-3,5,-17,
-11,17,1,-8,1,4,4,-30,
-27,-2,4,13,3,-3,-8,18,
1,11,2,5,-5,0,25,14,
20,17,-3,-6,0,14,7,-14,
-13,-10,-4,7,-1,-5,-9,7,
16,14,0,-11,-6,-9,-10,-5,
-10,-2,4,3,-1,3,8,-15,
41,0,7,-4,-5,-2,-4,54,
-1,-13,-3,5,-2,5,4,-29,
3,-9,-5,-14,-1,1,2,6,
8,17,0,-9,-4,-8,-7,-10,
-8,-35,-11,3,0,-6,1,5,
-2,23,7,-4,0,0,6,2,
-14,-1,3,4,1,9,23,41,
-9,-36,-9,2,2,7,11,-15,
-18,27,8,-9,1,-16,-19,-28,
3,15,7,8,3,3,12,18,
8,-20,-3,0,6,9,-2,-18,
20,2,3,-8,-7,-11,-13,14,
11,-3,3,15,-2,7,-8,4,
-63,-17,-5,-11,-1,-2,-9,-67,
24,4,-4,9,1,0,-15,15,
-4,-17,-6,-31,-7,-6,-1,-23,
10,3,13,37,9,1,11,1,
-24,26,-4,0,-7,-17,-3,5,
-12,-19,-9,-4,1,1,8,6,
3,0,-2,-3,-2,0,-9,17,
31,-32,-10,-11,-7,1,1,-17,
1,6,-5,-2,0,-10,-20,5,
3,16,14,-10,2,9,9,6,
9,12,13,29,2,-6,0,18,
-23,-26,-8,-7,2,5,10,-9,
13,-11,5,3,4,1,-27,5,
13,-1,-6,-2,-4,-5,15,-7,
-1,-22,-10,-11,-2,-2,-9,-2,
0,68,18,2,0,4,5,44,
8,-22,-6,-4,-3,-4,-9,12,
-5,7,-1,9,4,6,23,2,
-13,-8,-3,-3,-4,-12,-35,-36,
13,-6,-5,-4,0,-13,-9,15,
1,-24,-12,-6,4,7,15,33,
-14,31,17,4,-3,-7,-9,-28,
42,41,8,8,0,8,5,17,
-33,-23,-10,-6,-2,4,12,-22,
